Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,3.455,3.227,Hai phương pháp gần nhau.
cross-doc,Faithfulness,3.5,3.409,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,3.545,3.182,Hai phương pháp gần nhau.
cross-doc,Latency (s),6.034,4.869,GraphRAG không đắt hơn trong sample này.
cross-doc,Token usage,1003.318,900.455,GraphRAG không đắt hơn trong sample này.
factoid,Comprehensiveness,5.0,4.4,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
factoid,Faithfulness,5.0,4.4,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
factoid,Multi-hop reasoning,5.0,4.4,Flat RAG tốt hơn; graph extraction/retrieval có thể gây mất thông tin hoặc nhiễu.
factoid,Latency (s),9.7,13.761,Flat RAG thường rẻ/nhanh hơn.
factoid,Token usage,769.8,699.0,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,3.261,2.826,Hai phương pháp gần nhau.
multi-hop,Faithfulness,3.304,2.913,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,3.261,2.826,Hai phương pháp gần nhau.
multi-hop,Latency (s),7.715,7.348,GraphRAG không đắt hơn trong sample này.
multi-hop,Token usage,1114.435,961.348,GraphRAG không đắt hơn trong sample này.
